"食品成分","廃棄率","エネルギー","水分","たんぱく質","脂質","炭水化物","灰分","食塩相当量","アルコール","重量","削除","単位"
,"%","kcal","g","g","g","g","g","g","g","g"
"し好飲料類/＜アルコール飲料類＞/（醸造酒類）/清酒/普通酒","0","107","82.4","0.4","Tr","4.9","Tr","0","12.3",100,
"し好飲料類/＜アルコール飲料類＞/（醸造酒類）/清酒/純米酒","0","102","83.7","0.4","Tr","3.6","Tr","0","12.3",100,
"し好飲料類/＜アルコール飲料類＞/（醸造酒類）/清酒/本醸造酒","0","106","82.8","0.4","0","4.5","Tr","0","12.3",100,
"し好飲料類/＜アルコール飲料類＞/（醸造酒類）/清酒/吟醸酒","0","103","83.6","0.3","0","3.6","Tr","0","12.5",100,
"し好飲料類/＜アルコール飲料類＞/（醸造酒類）/清酒/純米吟醸酒","0","102","83.5","0.4","0","4.1","Tr","0","12.0",100,
"し好飲料類/＜アルコール飲料類＞/（醸造酒類）/ビール/淡色","0","39","92.8","0.3","0","3.1","0.1","0","3.7",100,
"し好飲料類/＜アルコール飲料類＞/（醸造酒類）/ビール/黒","0","45","91.6","0.4","Tr","3.6","0.2","0","4.2",100,
"し好飲料類/＜アルコール飲料類＞/（醸造酒類）/ビール/スタウト","0","62","88.4","0.5","Tr","4.9","0.3","0","5.9",100,
"し好飲料類/＜アルコール飲料類＞/（醸造酒類）/発泡酒","0","44","92.0","0.1","0","3.6","0.1","0","4.2",100,
"し好飲料類/＜アルコール飲料類＞/（醸造酒類）/ぶどう酒/白","0","75","88.6","0.1","Tr","2.0","0.2","0","9.1",100,
"し好飲料類/＜アルコール飲料類＞/（醸造酒類）/ぶどう酒/赤","0","68","88.7","0.2","Tr","1.5","0.3","0","9.3",100,
"し好飲料類/＜アルコール飲料類＞/（醸造酒類）/ぶどう酒/ロゼ","0","71","87.4","0.1","Tr","4.0","Tr","0","8.5",100,
"し好飲料類/＜アルコール飲料類＞/（醸造酒類）/紹興酒","0","126","78.8","1.7","Tr","5.1","0.3","0","14.1",100,
"し好飲料類/＜アルコール飲料類＞/（蒸留酒類）/しょうちゅう/連続式蒸留しょうちゅう","0","203","71.0","0","0","0","0","'(0)","29.0",100,
"し好飲料類/＜アルコール飲料類＞/（蒸留酒類）/しょうちゅう/単式蒸留しょうちゅう","0","144","79.5","0","0","0","0","-","20.5",100,
"し好飲料類/＜アルコール飲料類＞/（蒸留酒類）/ウイスキー","0","234","66.6","0","0","0","0","0","33.4",100,
"し好飲料類/＜アルコール飲料類＞/（蒸留酒類）/ブランデー","0","234","66.6","0","0","0","0","0","33.4",100,
"し好飲料類/＜アルコール飲料類＞/（蒸留酒類）/ウオッカ","0","237","66.2","0","0","Tr","0","0","33.8",100,
"し好飲料類/＜アルコール飲料類＞/（蒸留酒類）/ジン","0","280","59.9","0","Tr","0.1","0","0","40.0",100,
"し好飲料類/＜アルコール飲料類＞/（蒸留酒類）/ラム","0","237","66.1","0","Tr","0.1","0","0","33.8",100,
"し好飲料類/＜アルコール飲料類＞/（蒸留酒類）/マオタイ酒","0","317","54.7","0","0","0","0","0","45.3",100,
"し好飲料類/＜アルコール飲料類＞/（混成酒類）/梅酒","0","155","68.9","0.1","Tr","20.7","0.1","0","10.2",100,
"し好飲料類/＜アルコール飲料類＞/（混成酒類）/合成清酒","0","108","82.2","0.1","0","5.3","0.1","0","12.3",100,
"し好飲料類/＜アルコール飲料類＞/（混成酒類）/白酒","0","236","44.7","1.9","Tr","48.1","Tr","0","4.9",100,
"し好飲料類/＜アルコール飲料類＞/（混成酒類）/みりん/本みりん","0","241","47.0","0.3","Tr","43.2","Tr","0","9.5",100,
"し好飲料類/＜アルコール飲料類＞/（混成酒類）/みりん/本直し","0","179","68.2","0.1","Tr","14.4","Tr","0","17.3",100,
"し好飲料類/＜アルコール飲料類＞/（混成酒類）/薬味酒","0","181","62.6","Tr","Tr","26.8","Tr","0","10.6",100,
"し好飲料類/＜アルコール飲料類＞/（混成酒類）/キュラソー","0","319","43.1","Tr","Tr","26.4","Tr","0","30.5",100,
"し好飲料類/＜アルコール飲料類＞/（混成酒類）/スイートワイン","0","125","75.2","0.1","0","13.4","0.2","0","11.1",100,
"し好飲料類/＜アルコール飲料類＞/（混成酒類）/ペパーミント","0","300","41.0","0","0","37.6","Tr","0","21.4",100,
"し好飲料類/＜アルコール飲料類＞/（混成酒類）/ベルモット/甘口タイプ","0","151","71.3","0.1","0","16.4","0.1","0","12.1",100,
"し好飲料類/＜アルコール飲料類＞/（混成酒類）/ベルモット/辛口タイプ","0","113","81.7","0.1","0","3.7","0.1","0","14.4",100,
"し好飲料類/＜アルコール飲料類＞/（混成酒類）/缶チューハイ/レモン風味","0","51","91.4","0","Tr","2.9","Tr","0","5.6",100,
"し好飲料類/＜アルコール飲料類＞/（蒸留酒類）/しょうちゅう/泡盛","0","206","70.6","Tr","Tr","0","0","0","29.3",100,
"TOTAL",,"5301","2502.8","8.1","0","307.6","2.1","0","578.8","3400",
