食品成分,エネルギー,たんぱく質,脂質,炭水化物,重量
普通酒,0.0,0.0,0.0,0.0,0.0
純米酒,0.0,0.0,0.0,0.0,0.0
本醸造酒,0.0,0.0,0.0,0.0,0.0
吟醸酒,0.0,0.0,0.0,0.0,0.0
純米吟醸酒,0.0,0.0,0.0,0.0,0.0
淡色,0.0,0.0,0.0,0.0,0.0
黒,0.0,0.0,0.0,0.0,0.0
スタウト,0.0,0.0,0.0,0.0,0.0
発泡酒,0.0,0.0,0.0,0.0,0.0
白,0.0,0.0,0.0,0.0,0.0
赤,0.0,0.0,0.0,0.0,0.0
ロゼ,0.0,0.0,0.0,0.0,0.0
紹興酒,0.0,0.0,0.0,0.0,0.0
連続式蒸留しょうちゅう,0.0,0.0,0.0,0.0,0.0
単式蒸留しょうちゅう,0.0,0.0,0.0,0.0,0.0
ウイスキー,0.0,0.0,0.0,0.0,0.0
ブランデー,0.0,0.0,0.0,0.0,0.0
ウオッカ,0.0,0.0,0.0,0.0,0.0
ジン,0.0,0.0,0.0,0.0,0.0
ラム,0.0,0.0,0.0,0.0,0.0
マオタイ酒,0.0,0.0,0.0,0.0,0.0
梅酒,0.0,0.0,0.0,0.0,0.0
合成清酒,0.0,0.0,0.0,0.0,0.0
白酒,7402.947356,59.59999989999999,0.0,1508.8210500999999,3136.8421
本みりん,0.0,0.0,0.0,0.0,0.0
本直し,0.0,0.0,0.0,0.0,0.0
薬味酒,0.0,0.0,0.0,0.0,0.0
キュラソー,0.0,0.0,0.0,0.0,0.0
スイートワイン,0.0,0.0,0.0,0.0,0.0
ペパーミント,0.0,0.0,0.0,0.0,0.0
甘口タイプ,0.0,0.0,0.0,0.0,0.0
辛口タイプ,0.0,0.0,0.0,0.0,0.0
レモン風味,0.0,0.0,0.0,0.0,0.0
泡盛,0.0,0.0,0.0,0.0,0.0
